"filename", "language", "JSON", "PostCSS", "PHP", "Markdown", "XML", "Properties", "Batch", "JavaScript", "Shell Script", "Diff", "YAML", "Ignore", "HTML", "reStructuredText", "comment", "blank", "total"
"c:\Users\alter\gw2-guild-login\includes\GW2_2FA_Handler.php", "PHP", 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 43, 444
"c:\Users\alter\gw2-guild-login\includes\GW2_Login_Shortcode.php", "PHP", 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 47, 504
"c:\Users\alter\gw2-guild-login\includes\admin\class-gw2-admin-menu.php", "PHP", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 26, 251
"c:\Users\alter\gw2-guild-login\includes\admin\class-gw2-guild-login-admin.php", "PHP", 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 54, 760
"c:\Users\alter\gw2-guild-login\includes\admin\css\admin-style.css", "PostCSS", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 41, 325
"c:\Users\alter\gw2-guild-login\includes\admin\css\gw2-guild-login-admin.css", "PostCSS", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29, 205
"c:\Users\alter\gw2-guild-login\includes\admin\js\gw2-guild-login-admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 14, 17, 144
"c:\Users\alter\gw2-guild-login\includes\class-gw2-2fa-admin.php", "PHP", 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 14, 294
"c:\Users\alter\gw2-guild-login\includes\class-gw2-2fa-handler.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 27
"c:\Users\alter\gw2-guild-login\includes\class-gw2-2fa-login.php", "PHP", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 42, 317
"c:\Users\alter\gw2-guild-login\includes\class-gw2-api-cache-utils.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 26, 184
"c:\Users\alter\gw2-guild-login\includes\class-gw2-api.php", "PHP", 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 59, 443
"c:\Users\alter\gw2-guild-login\includes\class-gw2-cli.php", "PHP", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 12
"c:\Users\alter\gw2-guild-login\includes\class-gw2-guild-login.php", "PHP", 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 65, 470
"c:\Users\alter\gw2-guild-login\includes\class-gw2-guild-ranks.php", "PHP", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 29, 317
"c:\Users\alter\gw2-guild-login\includes\class-gw2-login-shortcode.php", "PHP", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 12
"c:\Users\alter\gw2-guild-login\includes\class-gw2-password-reset.php", "PHP", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 8, 129
"c:\Users\alter\gw2-guild-login\includes\class-gw2-session-handler.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 9, 101
"c:\Users\alter\gw2-guild-login\includes\class-gw2-user-dashboard.php", "PHP", 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 41, 456
